last_name, first_name,player_id,year,Age,AB,PA,H,1B,2B,3B,HR,K,BB,K%,BB%,AVG,SLG,OBP,OPS,TB,CS,SB,GIDP,HBP,IBB,SB,SF,R,OBA
Chapman, Matt,656305,2021,28,529,622,111,66,15,3,27,202,80,32.5,12.9,0.210,0.403,0.314,0.716,213,2,3,6,4,0,0,9,75,0.311
Mullins II, Cedric,656775,2021,26,602,675,175,103,37,5,30,125,59,18.5,8.7,0.291,0.518,0.359,0.877,312,8,30,2,8,3,1,4,91,0.372
Smith, Pavin,656976,2021,25,498,545,133,91,27,4,11,106,42,19.4,7.7,0.267,0.404,0.328,0.732,201,0,1,11,4,1,0,1,68,0.318
Verdugo, Alex,657077,2021,25,544,604,157,110,32,2,13,96,51,15.9,8.4,0.289,0.426,0.351,0.777,232,2,6,11,4,6,0,5,88,0.334
Moncada, Yoan,660162,2021,26,520,616,137,89,33,1,14,157,84,25.5,13.6,0.263,0.412,0.375,0.787,214,2,3,6,10,1,0,2,74,0.347
Ohtani, Shohei,660271,2021,26,537,639,138,58,26,8,46,189,96,29.6,15.0,0.257,0.592,0.372,0.965,318,10,26,7,4,20,0,2,103,0.393
Riley, Austin,663586,2021,24,590,662,179,112,33,1,33,168,52,25.4,7.9,0.303,0.531,0.367,0.898,313,1,0,11,12,2,0,8,91,0.379
Mountcastle, Ryan,663624,2021,24,534,586,136,79,23,1,33,161,41,27.5,7.0,0.255,0.487,0.309,0.796,260,3,4,12,4,2,0,7,77,0.335
Tucker, Kyle,663656,2021,24,506,567,149,79,37,3,30,90,53,15.9,9.3,0.294,0.557,0.358,0.915,282,2,14,10,1,5,0,5,83,0.383
India, Jonathan,663697,2021,24,532,631,143,86,34,2,21,141,71,22.3,11.3,0.269,0.459,0.376,0.834,244,3,12,13,23,1,1,4,98,0.363
Grisham, Trent,663757,2021,24,462,527,112,66,28,3,15,119,54,22.6,10.2,0.242,0.413,0.326,0.740,191,5,13,10,6,2,1,4,61,0.320
Lowe, Nathaniel,663993,2021,25,557,642,147,102,24,3,18,162,80,25.2,12.5,0.264,0.415,0.357,0.771,231,0,8,13,2,2,0,3,75,0.337
Happ, Ian,664023,2021,26,465,535,105,59,20,1,25,156,62,29.2,11.6,0.226,0.434,0.321,0.756,202,2,9,12,5,0,2,1,63,0.328
France, Ty,664034,2021,26,571,650,166,115,32,1,18,106,46,16.3,7.1,0.291,0.445,0.368,0.813,254,0,0,13,27,1,0,6,85,0.353
Lowe, Brandon,664040,2021,26,535,615,132,62,31,0,39,167,68,27.2,11.1,0.247,0.523,0.340,0.863,280,1,7,2,9,4,0,3,97,0.363
Fletcher, David,664058,2021,27,626,665,164,132,27,3,2,60,31,9.0,4.7,0.262,0.324,0.295,0.619,203,3,15,10,1,1,6,1,74,0.273
Straw, Myles,664702,2021,26,564,638,153,119,29,1,4,121,67,19.0,10.5,0.271,0.348,0.348,0.695,196,6,30,13,2,0,1,4,86,0.311
Walsh, Jared,665120,2021,27,530,585,147,83,34,1,29,152,48,26.0,8.2,0.277,0.509,0.340,0.850,270,1,2,7,4,6,0,3,70,0.357
Tatis Jr., Fernando,665487,2021,22,478,546,135,62,31,0,42,153,62,28.0,11.4,0.282,0.611,0.364,0.975,292,4,25,5,2,6,0,4,99,0.403
Guerrero Jr., Vladimir,665489,2021,22,604,698,188,110,29,1,48,110,86,15.8,12.3,0.311,0.601,0.401,1.002,363,1,4,20,6,7,0,2,123,0.419
Soto, Juan,665742,2021,22,502,654,157,106,20,2,29,93,145,14.2,22.2,0.313,0.534,0.465,0.999,268,7,9,23,2,23,0,5,111,0.420
Chisholm Jr., Jazz,665862,2021,23,464,507,115,73,20,4,18,145,34,28.6,6.7,0.248,0.425,0.302,0.726,197,8,23,3,4,0,2,3,70,0.312
Bichette, Bo,666182,2021,23,640,690,191,131,30,1,29,137,40,19.9,5.8,0.298,0.484,0.343,0.828,310,1,25,10,6,0,0,4,121,0.354
Carlson, Dylan,666185,2021,22,542,619,144,91,31,4,18,152,57,24.6,9.2,0.266,0.437,0.342,0.780,237,1,2,5,11,2,1,8,79,0.336
Garcia, Adolis,666969,2021,28,581,622,141,82,26,2,31,194,32,31.2,5.1,0.243,0.454,0.286,0.741,264,5,16,15,5,0,0,4,77,0.314
Gurriel Jr., Lourdes,666971,2021,27,500,541,138,87,28,2,21,102,32,18.9,5.9,0.276,0.466,0.318,0.784,233,3,1,8,2,1,1,6,62,0.333
Arozarena, Randy,668227,2021,26,529,604,145,90,32,3,20,170,56,28.1,9.3,0.274,0.459,0.356,0.815,243,10,20,9,14,4,0,5,94,0.350
Reynolds, Bryan,668804,2021,26,559,646,169,102,35,8,24,119,75,18.4,11.6,0.302,0.522,0.390,0.912,292,2,5,10,8,9,0,4,93,0.385
Rojas, Josh,668942,2021,27,484,550,128,82,32,3,11,137,58,24.9,10.5,0.264,0.411,0.338,0.749,199,4,9,7,0,1,1,3,69,0.327
Edman, Tommy,669242,2021,26,641,691,168,113,41,3,11,95,38,13.7,5.5,0.262,0.387,0.307,0.694,248,5,30,4,6,1,2,4,91,0.301
Solak, Nick,669256,2021,26,458,511,111,80,18,2,11,107,34,20.9,6.7,0.242,0.362,0.313,0.676,166,5,7,11,15,0,2,2,57,0.299
Hays, Austin,669720,2021,25,488,529,125,73,26,4,22,107,28,20.2,5.3,0.256,0.461,0.306,0.767,225,3,4,9,9,0,3,1,73,0.328
Lopez, Nicky,670032,2021,26,497,565,149,120,21,6,2,74,49,13.1,8.7,0.300,0.378,0.358,0.736,188,1,22,9,4,0,12,3,78,0.329
Alvarez, Yordan,670541,2021,24,537,598,149,80,35,1,33,145,50,24.2,8.4,0.277,0.531,0.346,0.877,285,0,1,16,8,3,0,3,92,0.370
